Phrase,is_name,Person
AIKA,y,Aika Robredo
AIKA DIRI,y,Aika Robredo
AIKA ROBREDO,y,Aika Robredo
Aika,y,Aika Robredo
Aika Rob,y,Aika Robredo
Aika Robredo,y,Aika Robredo
Aika Robredo Boyfriend,y,
Aika diri,y,Aika Robredo
Aika robredo,y,Aika Robredo
Anak ni Leni,y,A daughter of Leni
BBM,y,Bongbong Marcos
BBM Supporters,y,BBM Supporters
BBMARCOS,y,Bongbong Marcos
Baguio Fenks,y,Kakampinks
Baguio Igorot,y,
Batangueño,y,
Bembem,y,Bam Aquino
CPP,y,CPP
CPP NDF NPA,y,CPP-NDF-NPA
Chua,y,Gwyneth Chua
DilaPinks,y,Kakampinks
DilawKadiri,y,Kakampinks
Dilawan,y,Kakampinks
Fenks,y,Kakampinks
Footage ni Tricia,y,Tricia Robredo
Ganito dapat Jillian,y,Jillian Robredo
Harvard,y,
IGOROT SA BAGUIO,y,Igorot People
IGOROTS,y,Igorot People
ISANG IGOROT,y,
Igorot people,y,Igorot People
Igorot supporter,y,
JILLIAN ROBREDO,y,Jillian Robredo
KARENS,y,
Kakampikon,y,Kakampinks
Kakampwet,y,Kakampinks
KayLeniPatayTayo,y,Leni Robredo
KayLeniTalo,y,Leni Robredo
Leni lugaw,y,Leni Robredo
Leni robredog,y,Leni Robredo
LutangIna,y,Leni Robredo
Mrs Robredo,y,Leni Robredo
Mrs Robredo daughter,y,Jillian Robredo
President Leni,y,Leni Robredo
President Leni Robredo,y,Leni Robredo
TP,y,Thinking Pinoy
TRICIA,y,Tricia Robredo
TRICIA ROBREDO,y,Tricia Robredo
Tricia,y,Tricia Robredo
Tricia Robredo,y,Tricia Robredo
Trisha,y,Tricia Robredo
Trisha Robredo,y,Tricia Robredo
VP Leni,y,Leni Robredo
Vice President,y,Leni Robredo
Vice President Daughter,y,Tricia Robredo
WithdrawLeni,y,Leni Robredo
anak ni Lenlen,y,A daughter of Leni
anak ni Robredo,y,A daughter of Leni
daughter of Robredo,y,A daughter of Leni
daughter of Saint,y,A daughter of Leni
daughter of lugaw,y,A daughter of Leni
elderly lady,y,
elitist,y,
fake VP,y,Leni Robredo
fake VP Leni,y,Leni Robredo
grupo ni Jillian,y,Jillian's Group
grupo ni jillian,y,Jillian's Group
her camp,y,Jillian's Group
her crowd,y,Jillian's Group
her friends,y,Aika's Friends
her mom,y,Leni Robredo
hindot ka,y,Jillian Robredo
igorot,y,Igorot People
igorot friends,y,Igorot People
igorot native,y,Igorot People
ilocano,y,Ilocano People
isang Igorot,y,
jillian,y,Jillian Robredo
jillian robredo,y,Jillian Robredo
jillrobredo,y,Jillian Robredo
kakamdogs,y,Kakampinks
kakampink,y,Kakampinks
kakampinks,y,Kakampinks
kakampwet,y,Kakampinks
kampo ni Leni,y,Leni's Camp
komunista,y,Communists
kpatid na Igorot,y,Igorot People
leni,y,Leni Robredo
leni robredo,y,Leni Robredo
lenirobredo,y,Leni Robredo
locals,y,Igorot People
lugaw,y,Leni Robredo
lutang,y,Leni Robredo
lutang ina,y,Leni Robredo
lutang ina mo,y,Leni Robredo
ma am Jill,y,Jillian Robredo
maka BBM tao,y,BBM Supporters
mama,y,Leni Robredo
mama nyo,y,Leni Robredo
marcos,y,Bongbong Marcos
matandang igorot,y,
mga Robredo,y,Robredo Family
mga anak niya,y,Daughters of Leni
mga taga Baguio,y,
mga taga Norte,y,
mga tinderang igorot,y,
mom,y,Leni Robredo
mother,y,Leni Robredo
nanay Kong lutang,y,Leni Robredo
nanay mong lumulutang,y,Leni Robredo
old woman,y,
philippines Vice President,y,Leni Robredo
pink,y,Kakampinks
pinkilawan,y,Kakampinks
pinklawan,y,Kakampinks
robredo,y,Any Robredo
robredog,y,Leni Robredog
sarili niyang ina,y,Leni Robredo
she admitted,y,Aika Robredo
she went straight,y,Tricia Robredo
supporters nyoga bastos,y,Kakampinks
tricia,y,Tricia Robredo
taga Norte,y,
taga baguio,y,
tao sa palengke,y,Baguio Public Market
taong bayan,y,Filipino People
taong kumakayod,y,
tatlong anak,y,Daughters of Leni
team nila jillian,y,Jillian's Group
they are good,y,Igorot People
they are respectful,y,Igorot People
they value education,y,Igorot People
tinderang igorot,y,
tindira,y,
typhoon victims,y,
